gene,condition,aging_coef_rank,is_known_aging_reg
A2M,Rest,0.6154154957848254,False
A2M,Stim48hr,0.258243941199841,False
A2M,Stim8hr,0.7940846125046799,False
AACS,Stim48hr,0.0560190703218116,False
AAGAB,Stim8hr,0.2399850243354548,False
AAMDC,Stim48hr,0.9213349225268176,False
AAR2,Rest,0.730228823765556,False
AAR2,Stim8hr,0.6690378135529764,False
AASDH,Rest,0.311521477318346,False
AASDH,Stim48hr,0.3158522050059594,False
AASDHPPT,Rest,0.5539943797671618,False
AASS,Stim48hr,0.289233214143822,False
ABCA1,Rest,0.1296668004817342,False
ABCA1,Stim48hr,0.3957091775923719,False
ABCA1,Stim8hr,0.1220516660426806,False
ABCA3,Stim48hr,0.7953913388955105,False
ABCA5,Stim48hr,0.0842272546682558,False
ABCA5,Stim8hr,0.2489704230625234,False
ABCB7,Stim8hr,0.3721452639460876,False
ABCC1,Rest,0.6101967081493376,False
ABCC1,Stim48hr,0.0921732220897894,False
ABCC1,Stim8hr,0.4934481467615125,False
ABCC4,Stim48hr,0.400476758045292,False
ABCD2,Stim48hr,0.6968613428684942,False
ABCD4,Stim48hr,0.6666666666666666,False
ABHD12,Rest,0.2982737856282617,False
ABHD13,Rest,0.0048173424327579,False
ABHD13,Stim48hr,0.2387763210170838,False
ABHD13,Stim8hr,0.0535380007487832,False
ABHD14A,Rest,0.0770774789241268,False
ABHD14B,Rest,0.5832998795664391,False
ABHD15,Stim48hr,0.5653555820421137,False
ABHD16B,Rest,0.2139702930549979,False
ABHD17A,Stim48hr,0.379419944378228,False
ABHD17A,Stim8hr,0.5353800074878323,False
ABHD2,Rest,0.6270574066639903,False
ABHD6,Rest,0.5194700923323966,False
ABI3,Rest,0.8069048574869531,False
ABI3,Stim8hr,0.353051291651067,False
ABL2,Stim48hr,0.678585617798967,False
ABT1,Stim8hr,0.8539872706851367,False
ACACA,Stim48hr,0.0635677393722685,False
ACAD11,Rest,0.6840626254516259,False
ACAD11,Stim48hr,0.7814858959078268,False
ACAD11,Stim8hr,0.2287532759266192,False
ACAD9,Stim48hr,0.9435836313071116,False
ACADS,Stim48hr,0.8351211760031784,False
ACD,Stim48hr,0.4461660707191101,False
ACLY,Rest,0.3480529907667603,False
ACLY,Stim48hr,0.0381406436233611,False
ACLY,Stim8hr,0.2781729689254961,False
ACO2,Stim8hr,0.2665668289030325,False
ACOT7,Stim48hr,0.1080651569328565,False
ACSL1,Stim48hr,0.1191895113230035,False
ACSL1,Stim8hr,0.3238487457880943,False
ACSL3,Rest,0.9309514251304696,False
ACSL3,Stim48hr,0.7596344854986095,False
ACSL6,Rest,0.8410276997189884,False
ACSM3,Rest,0.8016860698514653,False
ACSS1,Rest,0.4676836611802489,False
ACSS2,Stim8hr,0.8442530887308124,False
ACTB,Rest,0.492974708952228,False
ACTB,Stim48hr,0.2085816448152562,False
ACTB,Stim8hr,0.4837139648071883,False
ACTR2,Rest,0.0317141710156563,False
ACTR2,Stim48hr,0.3261819626539531,False
ACTR2,Stim8hr,0.9457132160239612,False
ACTR3,Rest,0.1918908069048575,False
ACTR3,Stim48hr,0.8482320222487088,False
ACTR3,Stim8hr,0.9659303631598652,False
ACTR5,Rest,0.7703733440385387,False
ACTR5,Stim48hr,0.6146205800556218,False
ACTR5,Stim8hr,0.621115687008611,False
ACTR8,Rest,0.0786832597350461,False
ACTR8,Stim48hr,0.3059197457290425,False
ACTR8,Stim8hr,0.2482216398352676,False
ACVR1,Stim48hr,0.8533969010727056,False
ACVR2A,Stim8hr,0.9472107824784723,False
ACYP2,Rest,0.8032918506623846,False
ACYP2,Stim48hr,0.0905840286054827,False
ACYP2,Stim8hr,0.3642830400599026,False
ADAM10,Rest,0.758329987956644,False
ADAM10,Stim8hr,0.7180831149382254,False
ADAM19,Rest,0.8197511039743075,False
ADAM19,Stim48hr,0.0369487485101311,False
ADAM19,Stim8hr,0.574691126918757,False
ADAM9,Rest,0.3669209152950622,False
ADAM9,Stim8hr,0.1527517783601647,False
ADAMTS6,Stim48hr,0.4429876837504966,False
ADAT2,Rest,0.5676435166599759,False
ADAT2,Stim48hr,0.1048867699642431,False
ADAT2,Stim8hr,0.91276675402471,False
ADAT3,Rest,0.3384183059012445,False
ADAT3,Stim48hr,0.2193087008343265,False
ADAT3,Stim8hr,0.5484837139648072,False
ADCY4,Rest,0.7454837414692894,False
ADCY4,Stim48hr,0.4072308303535955,False
ADD1,Stim8hr,0.3028828154249345,False
ADGRG1,Stim8hr,0.6712841632347435,False
ADGRG5,Rest,0.1686069851465275,False
ADGRG5,Stim48hr,0.3289630512514899,False
ADGRG5,Stim8hr,0.033320853612879,False
ADGRL1,Stim48hr,0.1549463647199046,False
ADGRL1,Stim8hr,0.2160239610632721,False
ADHFE1,Stim48hr,0.4306714342471195,False
ADM5,Rest,0.0120433560818948,False
ADM5,Stim48hr,0.0353595550258243,False
ADM5,Stim8hr,0.1100711344065892,False
ADNP,Rest,0.9474106784423926,False
ADNP,Stim48hr,0.9725864123957092,False
ADNP,Stim8hr,0.4975664545114189,False
ADNP2,Rest,0.9919710959454034,False
ADNP2,Stim48hr,0.9618593563766388,False
ADNP2,Stim8hr,0.9666791463871208,False
ADO,Rest,0.5471698113207547,False
ADO,Stim48hr,0.6702423520063567,False
ADO,Stim8hr,0.3713964807188319,False
ADORA2A,Rest,0.7571256523484544,False
ADPRM,Stim48hr,0.7961859356376639,False
ADRM1,Stim48hr,0.1076678585617798,False
ADRM1,Stim8hr,0.0378135529764133,False
AEBP2,Rest,0.3448414291449217,False
AEBP2,Stim48hr,0.012316249503377,False
AEBP2,Stim8hr,0.603144889554474,False
AFAP1,Stim8hr,0.7472856608011981,False
AFF1,Stim48hr,0.5510528406833533,False
AFF4,Rest,0.9104777197912484,False
AFG3L2,Rest,0.3608992372541148,False
AFG3L2,Stim48hr,0.2979737783075089,False
AFG3L2,Stim8hr,0.4627480344440284,False
AGAP6,Rest,0.2392613408269771,False
AGBL5,Rest,0.3785628261742272,False
AGFG1,Stim48hr,0.1219705999205403,False
AGGF1,Stim48hr,0.4263011521652761,False
AGK,Stim8hr,0.0853612879071508,False
AGPAT1,Rest,0.525491770373344,False
AGPAT1,Stim48hr,0.0329757647993643,False
AGPAT1,Stim8hr,0.2163983526769,False
AGRN,Rest,0.0152549177037334,False
AGRN,Stim48hr,0.0270162892332141,False
AGRN,Stim8hr,0.0018719580681392,False
AHNAK,Rest,0.6009634684865516,False
AHR,Rest,0.3227619429947812,False
AHR,Stim48hr,0.7135478744537147,False
AHR,Stim8hr,0.8959191314114564,False
AHSA1,Rest,0.2055399437976716,False
AHSA1,Stim48hr,0.0794596742153357,False
AIFM1,Rest,0.2994781212364512,False
AIFM1,Stim48hr,0.6821613031386571,False
AIFM1,Stim8hr,0.4852115312616997,False
AIMP1,Stim8hr,0.7379258704605017,False
AIP,Rest,0.0570052187876354,False
AIP,Stim48hr,0.3810091378625347,False
AIP,Stim8hr,0.3283414451516286,False
AK3,Rest,0.9891609795262948,False
AK3,Stim48hr,0.9511323003575686,False
AK3,Stim8hr,0.9925121677274428,False
AK5,Rest,0.660377358490566,False
AK5,Stim8hr,0.0707600149756645,False
AK9,Rest,0.9329586511441188,False
AKAP10,Rest,0.986350863107186,False
AKAP10,Stim48hr,0.5764799364322606,False
AKAP10,Stim8hr,0.809434668663422,False
AKAP11,Stim8hr,0.9943841257955822,False
AKAP17A,Rest,0.1011641910879165,False
AKAP17A,Stim48hr,0.5621771950735002,False
AKAP17A,Stim8hr,0.201048296518158,False
AKIRIN1,Rest,0.6214371738257728,False
AKIRIN1,Stim8hr,0.6383377012354923,False
AKIRIN2,Rest,0.097551184263348,False
AKIRIN2,Stim48hr,0.4652363925307906,False
AKIRIN2,Stim8hr,0.5724447772369899,False
AKR1A1,Stim8hr,0.1329090228378884,False
AKR1C1,Rest,0.3685266961059815,False
AKR1C1,Stim48hr,0.7842669845053635,False
AKR1C3,Rest,0.7968687274187074,False
AKR7A2,Rest,0.7177840224809313,False
AKR7A2,Stim8hr,0.8064395357543991,False
AKT2,Rest,0.6378964271376957,False
AKTIP,Stim8hr,0.2302508423811306,False
ALAD,Stim48hr,0.3214143822010329,False
ALAD,Stim8hr,0.5204043429427181,False
ALAS1,Stim48hr,0.9940405244338498,False
ALAS1,Stim8hr,0.7311868214152003,False
ALDH18A1,Rest,0.1517462866318747,False
ALDH18A1,Stim48hr,0.1934843067143424,False
ALDH18A1,Stim8hr,0.4238113066267315,False
ALDH1B1,Stim48hr,0.2316249503377036,False
ALDOA,Stim8hr,0.907150879820292,False
ALG1,Rest,0.7507025291047772,False
ALG1,Stim8hr,0.1827031074503931,False
ALG12,Rest,0.9012444801284624,False
ALG12,Stim48hr,0.9670242352006356,False
ALG12,Stim8hr,0.9670535380007488,False
ALG13,Rest,0.2147731834604576,False
ALG13,Stim8hr,0.1782104080868588,False
ALG14,Stim48hr,0.8001589193484306,False
ALG14,Stim8hr,0.912392362411082,False
ALG2,Rest,0.0529907667603372,False
ALG2,Stim48hr,0.0925705204608661,False
ALG2,Stim8hr,0.2777985773118682,False
ALG3,Stim48hr,0.709574890742948,False
ALG3,Stim8hr,0.3144889554473979,False
ALG5,Rest,0.5154556403050984,False
ALG5,Stim48hr,0.2912197059992054,False
ALG5,Stim8hr,0.244852115312617,False
ALG6,Rest,0.6607788036932959,False
ALG6,Stim48hr,0.3392928088994835,False
ALG6,Stim8hr,0.2751778360164732,False
ALG8,Rest,0.809313528703332,False
ALG8,Stim48hr,0.7628128724672228,False
ALG8,Stim8hr,0.5406214900786223,False
ALG9,Rest,0.4074668807707748,False
ALKBH2,Rest,0.7173825772782015,False
ALKBH2,Stim48hr,0.1489868891537544,False
ALKBH2,Stim8hr,0.8869337326843879,False
ALMS1,Rest,0.0096346848655158,False
ALMS1,Stim8hr,0.0703856233620366,False
ALOX5,Rest,0.3552790044158972,False
ALOX5,Stim48hr,0.7719507350019865,False
ALOX5,Stim8hr,0.8435043055035567,False
ALPK1,Rest,0.8061019670814934,False
ALS2,Rest,0.7848253713368125,False
ALX4,Stim8hr,0.8423811306626732,False
AMBRA1,Stim48hr,0.2030194676201827,False
AMBRA1,Stim8hr,0.0520404342942718,False
AMD1,Rest,0.4227217984745082,False
AMD1,Stim48hr,0.951926897099722,False
AMD1,Stim8hr,0.1007113440658929,False
AMER1,Rest,0.5869128863910076,False
AMIGO1,Rest,0.9586511441188278,False
AMIGO1,Stim8hr,0.6199925121677274,False
AMMECR1L,Stim48hr,0.6324990067540723,False
AMMECR1L,Stim8hr,0.6252339947585174,False
ANAPC10,Stim48hr,0.9646404449741756,False
ANAPC11,Stim48hr,0.0218514104092173,False
ANGPTL4,Stim8hr,0.239610632721827,False
ANKAR,Rest,0.3119229225210759,False
ANKAR,Stim8hr,0.0071134406589292,False
ANKFY1,Rest,0.871938980329185,False
ANKK1,Rest,0.0843034925732637,False
ANKK1,Stim8hr,0.1164357918382628,False
ANKLE2,Rest,0.3251706142111601,False
ANKMY2,Rest,0.9943797671617824,False
ANKMY2,Stim48hr,0.8279698053237982,False
ANKMY2,Stim8hr,0.6783976038936728,False
ANKRA2,Stim8hr,0.1969299887682516,False
ANKRD10,Stim8hr,0.605765630849869,False
ANKRD11,Rest,0.0706543556804496,False
ANKRD11,Stim48hr,0.619388160508542,False
ANKRD11,Stim8hr,0.1800823661549981,False
ANKRD16,Stim8hr,0.879071508798203,False
ANKRD17,Stim8hr,0.1344065892923998,False
ANKRD27,Rest,0.7523083099156965,False
ANKRD40,Rest,0.9060618225612204,False
ANKRD40,Stim8hr,0.690752527143392,False
ANKRD49,Rest,0.6298675230830991,False
ANKRD49,Stim48hr,0.3742550655542312,False
ANKRD49,Stim8hr,0.9367278172968926,False
ANKRD54,Stim48hr,0.7878426698450537,False
ANKRD61,Stim48hr,0.4445768772348033,False
ANKRD61,Stim8hr,0.7450393111194309,False
ANKS3,Stim8hr,0.4279296143766379,False
ANKZF1,Rest,0.613809714973906,False
