cluster,manual_annotation,best_described_by,condition_specificity,cluster_size,cluster_gene_size,intracluster_corr,rest_count,stim8hr_count,stim48hr_count
0,Integrator complex,Integrator complex,across_condition,20,7,0.398472198,6,7,7
1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,6,2,0.333651754,2,2,2
2,Ino80 complex,Ino80 complex,across_condition,29,11,0.243528342,9,10,10
3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition,9,3,0.317833529,3,3,3
4,unknown,Sin3 complex,across_condition,6,2,0.371634235,2,2,2
5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition,6,2,0.427679133,2,2,2
6,unknown,Sin3 complex,across_condition,13,6,0.264729993,4,6,3
7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition,25,10,0.332353988,10,9,6
8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition,11,7,0.229311684,5,0,6
9,mediator-SAGA,SAGA complex,across_condition,34,34,0.364603722,0,0,34
10,mediator-SAGA,SAGA complex,across_condition,70,42,0.340361801,29,41,0
11,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition,4,2,0.457618452,2,2,0
12,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,2,0.263314979,2,2,0
13,CHD4/MTA2 complex,NuRD complex,across_condition,6,2,0.319351943,2,2,2
14,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,4,0.268350391,0,4,0
15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition,88,88,0.368599965,0,88,0
16,DCP2/DDX6 complex,mRNA decay by 5 to 3 exoribonuclease,across_condition,6,2,0.296368703,2,2,2
17,genome defense,"Fibronectin-III type domain, and ARF7 effector protein, C-terminal",across_condition,14,5,0.238202126,5,4,5
18,share bidirectional promoter,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,5,2,0.356752662,1,2,2
19,NCOR/HDAC3 complex,"Loss of MECP2 binding ability to the NCoR/SMRT complex, and Y-linked deafness 2",across_condition,12,6,0.153912879,5,6,1
20,PAF1 complex,"Transcription elongation factor complex, and RNA polymerase II, core complex",across_condition,8,3,0.290110736,2,3,3
21,TCR signaling,Arp2/3 protein complex,Stim8hr,137,135,0.245736707,2,135,0
22,TCR signaling,"Alpha-beta T cell receptor complex, and Pneumocystosis",Stim8hr_Stim48hr,11,11,0.8183773,0,11,0
23,RNA exosome,Nuclear exosome (RNase complex),across_condition,4,4,0.257624778,0,4,0
24,unknown,"Exosome (RNase complex), and TRAMP complex",across_condition,13,7,0.2130993,3,6,4
25,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,16,14,0.149448409,14,1,1
26,unknown,"mixed, incl. Fatty acid metabolism, and Regulation of lipid storage",Rest,26,23,0.157826484,23,2,1
27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest,215,215,0.385659526,215,0,0
28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition,49,49,0.289242197,49,0,0
29,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.182569866,4,0,0
30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest,87,87,0.222387607,87,0,0
31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition,12,12,0.379515033,0,0,12
32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition,13,11,0.28176607,1,11,1
33,elongator complex,tRNA wobble uridine modification,across_condition,31,13,0.283667524,11,13,7
34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition,6,6,0.293046792,0,6,0
35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition,51,37,0.188836312,15,32,4
36,citrate metabolism,"Citrate cycle (TCA cycle), and Pyruvate metabolism",Stim48hr,8,8,0.347846123,0,0,8
37,CoA metabolism,Coenzyme A biosynthesis,Rest_Stim8hr,17,9,0.209120842,5,9,3
38,MLL2 complex related,"Nucleosome, and Histone methyltransferase complex",across_condition,14,6,0.197325052,5,6,3
39,unknown,"mRNA cleavage factor complex, and CID domain",across_condition,28,12,0.119288071,9,10,9
40,Protein phosphatase inhibitor 2,"Protein phosphatase inhibitor 2 (IPP-2), and Myosin VI binding",across_condition,6,4,0.204147814,1,1,4
41,protein glycosylation,"Glycosylation and related congenital defects, and Synthesis of GDP-mannose",across_condition,87,52,0.210009612,25,46,16
42,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,16,13,0.151911008,12,3,1
43,CFAP20/CLASRP complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,2,0.238000878,2,2,0
44,unknown,"mixed, incl. GPVI-mediated activation cascade, and Insulin receptor binding",across_condition,12,12,0.256038245,0,12,0
45,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,14,8,0.085347011,5,5,4
46,unknown,"P-type ATPase, C-terminal, and Protein dopey",across_condition,6,6,0.307992909,0,6,0
47,CtBP core complex,"C-terminal binding protein, and Hypoxia-mediated EMT and stemness",across_condition,10,4,0.342530477,4,3,3
48,tRNA processing,tRNA-splicing ligase complex,across_condition,13,13,0.304322524,13,0,0
49,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.161703787,4,0,0
