cluster,condition,autoimmune_or,autoimmune_fdr,cluster_size,in_cluster_in_disease,intersecting_genes
89,Stim8hr,3.0405225358384027,5.049627361075314e-06,100,41.0,"['TMEM50A', 'ATP8B4', 'PHLDA1', 'TYMP', 'UBASH3B', 'TRAT1', 'P4HA2', 'GRAMD1B', 'CRIM1', 'DOT1L', 'IGSF9B', 'STAT1', 'GPR183', 'FYB1', 'SMAD3', 'GZMB', 'KLF3', 'AHI1', 'CSF2', 'ALPK1', 'ADGRG5', 'RASA3', 'GATA3', 'FUT8', 'EDARADD', 'ITPR1', 'CALHM6', 'SF3A3', 'PRPF40A', 'SEPTIN9', 'VEGFB', 'PTGIR', 'JARID2', 'ATP8B2', 'IFI30', 'NLRC5', 'IL7R', 'ADA2', 'CDK6', 'MYB', 'ORMDL3']"
59,Stim8hr,2.5486606624519657,0.0003376196063936,100,37.0,"['RRAS2', 'IRF8', 'DUSP16', 'S1PR4', 'FAS', 'TIAM1', 'NPEPPS', 'MICOS10', 'DUSP5', 'BACH2', 'SPATS2L', 'REL', 'CTLA4', 'STING1', 'CXCR4', 'NCALD', 'IL10', 'CHD3', 'ANXA4', 'FAR1', 'ASXL1', 'FOSL2', 'GPR174', 'ACVR2A', 'CD47', 'MBNL1', 'GLS', 'DPP4', 'KIF7', 'RASGRP1', 'PDE4D', 'PRDM1', 'F5', 'IFI30', 'REXO2', 'CD28', 'NRN1']"
54,Stim48hr,2.319638527411937,0.0020286262851211,100,36.0,"['PRKCB', 'CCDC6', 'DST', 'SLC44A2', 'BATF3', 'P4HA2', 'CPPED1', 'MGAT5', 'CADM1', 'DRAM1', 'SLC12A7', 'CTLA4', 'TSPAN3', 'ACTN1', 'RASA3', 'IL10', 'CD44', 'SAMHD1', 'ANXA3', 'CDYL2', 'IFITM2', 'IKZF1', 'FOSL2', 'SUCLG2', 'NFKBIZ', 'ELMO1', 'ADPRH', 'JAM2', 'SEPTIN9', 'KCNQ1', 'MBD2', 'ZC3H12C', 'MEAK7', 'ETS1', 'CD28', 'ELOVL4']"
89,Stim48hr,2.215699944824585,0.0025041253686853,100,35.0,"['LRRC32', 'ATP8B4', 'KIF21B', 'BCL2L11', 'NFKBIA', 'SATB1', 'STAP1', 'STAT1', 'ANXA2', 'GZMB', 'DDX6', 'SPEF2', 'CSF2', 'AGPAT4', 'CLEC2D', 'TP53INP1', 'RASA3', 'CXCR4', 'PHF12', 'CYRIB', 'FUT8', 'PSAT1', 'ARSB', 'CDC42EP3', 'SAT1', 'CALHM6', 'PSMB9', 'ARID5B', 'SYNE2', 'CCR2', 'MBNL1', 'JAK2', 'GADD45G', 'NLRC5', 'IL7R']"
100,Stim8hr,2.22189572669999,0.0025247850560383,100,34.0,"['IRF8', 'RCC1', 'IL21R', 'GNB2', 'ADGRE5', 'APPL1', 'UFM1', 'ADO', 'BACH2', 'CRY1', 'VSIR', 'RNF19A', 'BCL6', 'REL', 'EGR2', 'CSF2', 'CSK', 'NR3C1', 'TRAF1', 'AGO2', 'SAMHD1', 'IL18RAP', 'HCFC1', 'GNG4', 'CD200', 'CD226', 'FYN', 'HIVEP3', 'CD47', 'PIM3', 'PTPN22', 'RCAN1', 'ETS1', 'ZEB2']"
79,Stim8hr,2.1200334683348845,0.0029353764612172,100,33.0,"['SH2B3', 'IRF8', 'TNIP2', 'PDE4A', 'CYLD', 'CIITA', 'FOXO1', 'CTLA4', 'SBF2', 'UBE2E3', 'STING1', 'ADGRG5', 'RYBP', 'STAT4', 'TNFAIP8', 'JADE2', 'P2RY10', 'LRBA', 'GPR174', 'TRIB2', 'IKBKE', 'CAMK4', 'PTGIR', 'TCF7', 'TET2', 'SESN1', 'PDE7A', 'CD28', 'CD83', 'IFNG', 'AEBP2', 'TYMP', 'PTP4A3']"
38,Stim8hr,2.22189572669999,0.0050495701120767,100,34.0,"['PHLDA1', 'IL21R', 'AGPAT2', 'NCK2', 'GSE1', 'PDE4A', 'SELL', 'CD69', 'AHI1', 'MUC1', 'MBIP', 'ANXA11', 'NR3C1', 'ACTN1', 'RNF145', 'RASSF3', 'SLC43A3', 'LEF1', 'TNFAIP8', 'NEK6', 'APBB1IP', 'FKBP5', 'ZBTB21', 'FYN', 'STMN3', 'STAT5B', 'GNG2', 'PKIA', 'ITGAL', 'PRDM1', 'CCR5', 'GRAP2', 'TMEM131L', 'IL7R']"
83,Stim8hr,2.021439107753168,0.0061691997472328,100,32.0,"['CBLB', 'IRF8', 'TNFAIP3', 'IL21R', 'ADGRE5', 'ADAT2', 'FEN1', 'ZMAT3', 'DUSP5', 'STAT3', 'ANK3', 'RNF19A', 'CD69', 'EGR2', 'CSK', 'TMSB4X', 'CD109', 'ACTB', 'CD44', 'NR4A3', 'C12orf75', 'HCFC1', 'IL13', 'CDC42EP3', 'FADS2', 'PTPN22', 'KLF6', 'JARID2', 'F5', 'NDFIP1', 'IL7R', 'ZEB2']"
38,Rest,2.097504273428922,0.006833151570421,100,33.0,"['CTSH', 'IL21R', 'GSE1', 'PIK3R1', 'CD6', 'TRAT1', 'SATB1', 'PTGER4', 'FYB1', 'SELL', 'ITM2A', 'PREX1', 'RASSF3', 'CHD3', 'PLD3', 'LEF1', 'ETS2', 'TMEM71', 'IL12RB2', 'FKBP5', 'PRR5L', 'STMN3', 'DARS1', 'VMP1', 'GNG2', 'ATP5MG', 'KLF6', 'ETS1', 'PDE7A', 'LMAN1', 'CD28', 'TPP2', 'IGSF9B']"
93,Stim48hr,2.017976402211339,0.0124057628623892,100,33.0,"['IL2RA', 'STK17B', 'TIAM1', 'CTH', 'LAG3', 'OAS1', 'STAT1', 'FYB1', 'SMAD3', 'IRF1', 'OAS3', 'ALOX5AP', 'CTLA4', 'STING1', 'ODC1', 'IL18R1', 'NCALD', 'NDUFV2', 'LTA', 'MX1', 'ARL4C', 'KIF2A', 'C12orf75', 'PSAT1', 'IFITM2', 'LMNA', 'FADS2', 'SYNE2', 'GRAP2', 'MAF', 'IL7R', 'ADA2', 'TYMP']"
