gene,condition,cluster,manual_annotation,best_described_by,condition_specificity
SLC24A1,Stim8hr,0,Integrator complex,Integrator complex,across_condition
SLC24A1,Rest,0,Integrator complex,Integrator complex,across_condition
INTS13,Stim48hr,0,Integrator complex,Integrator complex,across_condition
INTS15,Stim8hr,0,Integrator complex,Integrator complex,across_condition
FGFR1OP2,Stim8hr,0,Integrator complex,Integrator complex,across_condition
INTS14,Rest,0,Integrator complex,Integrator complex,across_condition
INTS13,Stim8hr,0,Integrator complex,Integrator complex,across_condition
INTS10,Stim8hr,0,Integrator complex,Integrator complex,across_condition
INTS13,Rest,0,Integrator complex,Integrator complex,across_condition
EBF3,Stim48hr,0,Integrator complex,Integrator complex,across_condition
EBF3,Rest,0,Integrator complex,Integrator complex,across_condition
INTS14,Stim48hr,0,Integrator complex,Integrator complex,across_condition
SLC24A1,Stim48hr,0,Integrator complex,Integrator complex,across_condition
FGFR1OP2,Stim48hr,0,Integrator complex,Integrator complex,across_condition
INTS14,Stim8hr,0,Integrator complex,Integrator complex,across_condition
INTS15,Stim48hr,0,Integrator complex,Integrator complex,across_condition
INTS10,Rest,0,Integrator complex,Integrator complex,across_condition
EBF3,Stim8hr,0,Integrator complex,Integrator complex,across_condition
INTS10,Stim48hr,0,Integrator complex,Integrator complex,across_condition
FGFR1OP2,Rest,0,Integrator complex,Integrator complex,across_condition
RFX1,Stim8hr,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
FOXN2,Stim48hr,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
RFX1,Stim48hr,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
FOXN2,Stim8hr,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
RFX1,Rest,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
FOXN2,Rest,1,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
INO80B,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
ACTR5,Rest,2,Ino80 complex,Ino80 complex,across_condition
INO80,Rest,2,Ino80 complex,Ino80 complex,across_condition
RO60,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
HEY1,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
NFRKB,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
NFRKB,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
INO80B,Rest,2,Ino80 complex,Ino80 complex,across_condition
HEY1,Rest,2,Ino80 complex,Ino80 complex,across_condition
INO80C,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
UCHL5,Rest,2,Ino80 complex,Ino80 complex,across_condition
NFRKB,Rest,2,Ino80 complex,Ino80 complex,across_condition
INO80E,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
INO80B,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
HIRIP3,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
UCHL5,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
