gene,gene_id,condition,donor_correlation_mean,donor_correlation_min
A2M,ENSG00000175899,Rest,-0.0276187515757076,-0.4246749056109064
AAR2,ENSG00000131043,Rest,-0.1930219516513261,-0.2342126187635358
AASDH,ENSG00000157426,Rest,0.6127212399168732,0.2633775616591168
ABCC1,ENSG00000103222,Rest,0.1823622558466086,0.0551943378380876
ABHD12,ENSG00000100997,Rest,0.2677715910186439,0.0915691679015913
ABHD13,ENSG00000139826,Rest,0.1597046196363877,0.0273291908791664
ABHD14A,ENSG00000248487,Rest,0.8097620243311923,0.7452933066788042
ACAD11,ENSG00000240303,Rest,0.4800166617203278,0.3620754748181285
ACSL6,ENSG00000164398,Rest,0.4101089569013822,0.336812879931147
ACSS1,ENSG00000154930,Rest,0.6581351838410221,0.2706987936307494
ACTB,ENSG00000075624,Rest,0.5968633953949639,0.5084281419499042
ACTR2,ENSG00000138071,Rest,0.599137633564233,0.4227532631819161
ACTR3,ENSG00000115091,Rest,0.5390519444748849,0.317025852239873
ACTR5,ENSG00000101442,Rest,0.5456022067443128,0.4575661228852168
ACTR8,ENSG00000113812,Rest,0.6525526811919207,0.5828929963758575
ADAM19,ENSG00000135074,Rest,-0.0067709224073931,-0.1492299357044381
ADAM9,ENSG00000168615,Rest,0.7781042690615362,0.6282658747420939
ADAT2,ENSG00000189007,Rest,0.3123694998674601,0.2605966466810407
ADAT3,ENSG00000213638,Rest,0.6079826084525077,0.5550359773965239
ADCY4,ENSG00000129467,Rest,0.1119482319708933,-0.0063329725899086
ADNP2,ENSG00000101544,Rest,0.9271349358354156,0.910027872928474
ADO,ENSG00000181915,Rest,0.4129800178156877,0.3645323903664315
AFG3L2,ENSG00000141385,Rest,0.0281803615720983,-0.0814518878528021
AGPAT1,ENSG00000204310,Rest,0.0901625407649083,0.0198974368940295
AGRN,ENSG00000188157,Rest,0.1094614873079016,0.0341964034364896
AHR,ENSG00000106546,Rest,0.674344039341895,0.6182628003445629
AHSA1,ENSG00000100591,Rest,0.8474528809084964,0.7934434878760238
AIFM1,ENSG00000156709,Rest,-0.2930945158942432,-0.3738223526444661
AIP,ENSG00000110711,Rest,0.1852171876947891,0.1548312556900052
AK3,ENSG00000147853,Rest,0.1291981741815893,-0.154881756443009
AK9,ENSG00000155085,Rest,0.7953763524352748,0.7080495311878627
AKAP10,ENSG00000108599,Rest,0.0799964321928245,-0.0111467253704594
AKR1C1,ENSG00000187134,Rest,0.232405806903426,-0.0933887175386781
ALDH18A1,ENSG00000059573,Rest,0.5751742494104389,0.5053945442612264
ALG1,ENSG00000033011,Rest,0.0529171494832687,-0.0319806448041928
ALG12,ENSG00000182858,Rest,0.7814694193879466,0.6193654551089769
ALG13,ENSG00000101901,Rest,0.6065772523247165,0.4933769461395841
ALG2,ENSG00000119523,Rest,0.0778655961985651,-0.10446810970353
ALG5,ENSG00000120697,Rest,0.3653187434252324,-0.1294215231911588
