gene,condition,guide_correlation,correlation_ceiling,n_signif_union
A2M,Rest,-0.4660861832343115,,10
ABCC1,Rest,0.0844800120611531,,84
ABHD12,Rest,0.4907601787149974,0.6285015193471538,360
ABHD13,Rest,-0.3015267537752877,0.5279953418008129,507
ABHD14A,Rest,0.9587949619448304,0.9432892604608928,5
ACAD11,Rest,0.6160282278807707,0.8909767685274019,197
ACTB,Rest,0.4992799437666621,0.8347147209493324,57
ACTR2,Rest,0.3953191118313399,0.9460228754751674,6
ACTR3,Rest,0.9374145132543976,0.7835367091800154,5
ACTR5,Rest,0.3196299581527979,0.910224981768194,50
ADAM19,Rest,0.4081841789125034,0.823363200698077,136
ADAT2,Rest,0.3824557465863364,0.5282548807238923,173
ADAT3,Rest,0.8515012782998695,0.8842581769478863,197
ADNP2,Rest,0.8433994341580927,0.9638920120638556,13
AGRN,Rest,-0.1843796946135424,0.9180505830555968,40
AHR,Rest,0.873622614602888,0.8778715411927815,918
AHSA1,Rest,0.9588669586564998,0.8614627798038579,3
AIFM1,Rest,0.4471404800806363,0.8882295274246155,13
AIP,Rest,0.6071771170666918,0.9076484538776596,31
AK9,Rest,0.9915035527949874,0.943520270777471,4
ALDH18A1,Rest,0.6025645853717729,0.8992289042115801,78
ALG2,Rest,0.0516421038286214,0.928641568693261,15
ALG5,Rest,0.9665410223418138,0.9244881586917592,5
ALG6,Rest,0.6028484818927479,0.929624787760784,19
ALG8,Rest,0.9126731022184734,0.9641104552363666,16
ALG12,Rest,0.7283034322484965,0.7136719962090239,19
ALKBH2,Rest,0.222761810909142,,86
ALOX5,Rest,0.252968140404896,,112
ALS2,Rest,0.8484936607529633,0.8892270968372531,28
AMIGO1,Rest,0.5275871928212637,0.2270716932478985,7
ANKRD40,Rest,0.220460558634822,0.7459866677204804,20
ANKZF1,Rest,-0.0067914096807252,0.5414345840327118,327
ANP32B,Rest,0.6518241805461822,0.916059251169374,20
APBB1IP,Rest,-0.1578944033795195,,9
APC,Rest,0.4936663823618816,0.8365642224798859,266
APEX1,Rest,0.9147314305608116,0.9812292255808752,14
APOBEC3B,Rest,0.6140001990482985,0.4700753240319559,65
APOBEC3G,Rest,-0.1698192619208115,0.3309612333241865,969
APPBP2,Rest,0.3205736963026256,0.8016280986264889,17
ARF1,Rest,0.1397734041886695,0.920220508104405,39
ARID2,Rest,0.6405682512627809,0.9212736949137657,5
ARIH1,Rest,0.6257710579891752,0.9091295884028529,40
ARL5B,Rest,0.2122058900849278,0.8070735294037897,34
ARMC8,Rest,0.2399186080637672,0.6577856564855418,17
ARNT,Rest,0.8420601284143232,0.8791112051746649,1016
ARPC2,Rest,0.5427631571973688,0.6895312436502085,39
ARPC3,Rest,0.6909540147685717,0.6923234870648574,73
ARPC4-TTLL3,Rest,0.956549731052803,0.9030906053832284,12
ATAD5,Rest,0.8525651521751353,0.8301742760060402,1740
ATF4,Rest,0.6872661309962393,0.8407068872785972,67
ATF7IP2,Rest,-0.2206907711471407,,695
ATM,Rest,0.2296079458855741,0.8689471262845501,37
ATP1B3,Rest,0.4183398037895075,0.2485909102531037,132
ATP2A2,Rest,0.7560757020787457,0.8675834070762104,2677
ATP2B1,Rest,0.0781289016523413,0.7991519803540375,374
ATP5F1A,Rest,-0.2786392460701319,0.8566233222778075,40
ATP5ME,Rest,0.2348564545590124,0.8763249219770045,105
ATP5MF,Rest,0.2726802794128299,0.8242956048322027,40
ATP5PO,Rest,0.7677121022096993,0.9117609439285552,23
ATPAF2,Rest,0.6356432655209372,0.9468871285642008,19
ATRX,Rest,0.6183285684572364,0.9137866145121332,64
ATXN1L,Rest,-0.1686640453049439,,794
ATXN2L,Rest,0.7818793685242856,0.6529032828456636,48
ATXN7L3,Rest,0.8334614791888701,0.772172636073153,80
ATXN10,Rest,0.4730482847109036,0.7813804280993357,655
B3GAT1,Rest,0.1940560556573893,,20
B3GAT2,Rest,0.1718060223780049,,45
B4GALT7,Rest,0.7822137718056696,0.919979130322799,9
BAHD1,Rest,0.5732653020974414,0.9485377625106142,4
BBS10,Rest,0.2575421960107629,0.780576066652102,31
BCL3,Rest,0.6864443129662015,0.9211910121118216,9
BCS1L,Rest,0.8992623022808587,0.9475650041986604,24
BEX3,Rest,0.2024804569496047,0.8206624858011433,37
