gene,condition,k562_logfc_r,k562_donor_corr_mean,n_degs_mash
SLC30A1,Rest,0.9340701252458112,,23.0
PROSER1,Rest,0.8098930751964291,,40.0
C2orf76,Rest,0.8077539765559986,,7.0
SMG7,Rest,0.7722755799422971,0.3782917943265952,735.0
CASC3,Rest,0.7654944023631409,0.5785955145038758,683.0
RMDN1,Rest,0.7548918104291445,,9.0
DCAF17,Rest,0.7369748113650633,,3.0
OPN3,Rest,0.7270037139305956,,8.0
MLH1,Rest,0.7232699792087102,,5.0
ZFC3H1,Rest,0.71794632718602,0.3966611610794554,214.0
ACAD8,Rest,0.7099016790752418,,4.0
SREBF2,Rest,0.7064007121964557,,28.0
SCAF8,Rest,0.7060190699568718,0.5525999101684475,83.0
PTDSS2,Rest,0.6970554322007603,0.5026950084495714,78.0
CRYZ,Rest,0.6967308177578144,,5.0
SEC63,Rest,0.6911335538343515,0.4778277208561,260.0
FOXN2,Rest,0.690741917501684,0.645811828789265,206.0
KCTD9,Rest,0.6859818258457862,,15.0
CDKN2AIP,Rest,0.6827259936761159,0.6363401334688242,120.0
INTS13,Rest,0.6757987722446699,0.4312824754162838,434.0
SMG8,Rest,0.6713039068903436,0.6564474446021578,537.0
CCDC18,Rest,0.6675574272420433,,5.0
APIP,Rest,0.6598028778793972,,7.0
TMEM131L,Rest,0.6577976812441135,0.2720691031526889,248.0
UBR5,Rest,0.6561261880061783,0.6859984175056288,765.0
CETN2,Rest,0.6533823737381315,,23.0
DNAJB9,Rest,0.6457202373142288,0.6406875162383159,204.0
RPRD2,Rest,0.6445427494557914,0.5837184036978235,933.0
CELF2,Rest,0.6429203015323922,,100.0
CBX5,Rest,0.6361998615880904,0.4913162987570547,272.0
INSIG1,Rest,0.6351884538794768,,127.0
SRSF10,Rest,0.6349627973412264,0.6033755022060178,394.0
RBM10,Rest,0.6281758674538799,0.5863739106306124,273.0
WIZ,Rest,0.6275811207189895,0.7491133703670846,222.0
NUDCD1,Rest,0.6272498409053252,0.7259430086890365,487.0
MLX,Rest,0.627042849458803,0.3576187182385288,32.0
INTS10,Rest,0.6241474468694531,0.521451218010777,657.0
AP1B1,Rest,0.6208501751946569,,8.0
PPP1R3D,Rest,0.6202721749690359,,7.0
PRRC2A,Rest,0.6198756007664408,0.6234965215765741,85.0
DDRGK1,Rest,0.6193078658689647,0.4323014983392265,755.0
THRAP3,Rest,0.6191446995361425,0.6661436964172315,378.0
WDR61,Rest,0.6188425781933369,0.6037361946258698,544.0
SLC31A1,Rest,0.6181615941847107,0.4330031719168992,278.0
YTHDF2,Rest,0.6159907870726579,0.5197525074923842,721.0
LEO1,Rest,0.615936165570546,0.6229945740620985,1195.0
NUDCD2,Rest,0.6151242920751813,,19.0
STIP1,Rest,0.6093821576511121,0.6028995162685088,412.0
MCTS1,Rest,0.6084664292455408,0.6883509578862975,749.0
SIN3B,Rest,0.6080758937185775,0.5822105468803943,900.0
STYXL1,Rest,0.6071239861241853,0.3923107412191608,231.0
TXNRD2,Rest,0.6066958164314955,,6.0
EID2,Rest,0.6064872074868415,-0.0235983518586625,84.0
TMEM131,Rest,0.6063271237868366,0.5985323887446977,99.0
RFX1,Rest,0.6057956592238812,0.6543506882348338,180.0
CREBBP,Rest,0.6007853890982346,0.5371945634735814,803.0
SUPT7L,Rest,0.6004741357943213,0.3329535691993171,1724.0
THAP11,Rest,0.5972733498823111,0.2417022946586825,519.0
INO80B,Rest,0.5963348380157847,0.2882820805638885,153.0
STRAP,Rest,0.5929821981783019,0.5589025031811211,668.0
MTA2,Rest,0.5918603860761011,0.6032549163561712,552.0
DPH6,Rest,0.5901742756199245,0.3759660562124123,107.0
TDP2,Rest,0.5888211132006808,,4.0
PHKB,Rest,0.5885347336487171,,3.0
TSC2,Rest,0.5866434134444402,0.6666782172457042,405.0
TMED10,Rest,0.5846446594786678,0.4998489677003139,280.0
CAND1,Rest,0.5842856266929406,0.6434923805036444,460.0
RBM12,Rest,0.5839095760664412,0.5933156092896398,196.0
HMGXB3,Rest,0.5819053577465824,,38.0
UFM1,Rest,0.5813170791291763,0.6611672709579418,868.0
ARNT,Rest,0.5805343409112229,0.7906346406857209,863.0
MFSD4B,Rest,0.5776553589165478,,51.0
C12orf4,Rest,0.5772924889780825,,10.0
C7orf26,Rest,0.5769487093921322,,108.0
RGS10,Rest,0.5756627764195665,,5.0
KEAP1,Rest,0.5731244459415679,0.4150019163871494,74.0
TAF11,Rest,0.5727692463023502,0.5711476387583597,1022.0
INO80C,Rest,0.572554657461675,0.6580805917786222,295.0
GABPB1,Rest,0.5710552276319523,0.5278705989629944,478.0
WDR59,Rest,0.5701999496532923,0.4528834810362236,339.0
FUBP1,Rest,0.5692607704773407,0.5139076102344835,550.0
RPTOR,Rest,0.5692528619509313,0.4563453008434137,252.0
ZC3H3,Rest,0.5678871099379281,0.1757899366755194,129.0
GPATCH8,Rest,0.5677579963165938,0.8184036042418462,171.0
UBE2G2,Rest,0.5667195186969677,-0.1284359297940571,138.0
SP1,Rest,0.5660696656622947,0.4864025817503575,203.0
CLUH,Rest,0.565970878894511,0.3442890255648455,83.0
CDK2,Rest,0.5653544603602199,,46.0
PPP1R11,Rest,0.564706267085662,0.2853762635464202,184.0
CNOT11,Rest,0.5641772813628726,0.1692969970368392,202.0
ABHD14B,Rest,0.5635676532893128,,11.0
INTS14,Rest,0.5586852597592513,0.3307037905253164,342.0
TFAM,Rest,0.5583454619498124,0.8032861257139978,399.0
ATF4,Rest,0.5575622586928443,0.5638439935683435,151.0
PDS5B,Rest,0.5568163948848281,,64.0
MBTPS1,Rest,0.5555584410859579,0.7819955470641418,89.0
NELFCD,Rest,0.5547034293596118,0.4738546269536092,275.0
COA3,Rest,0.552954641398681,0.5093438943533833,120.0
ELOF1,Rest,0.5526317503798867,0.5054910064662493,2010.0
LAMTOR2,Rest,0.55095541395299,0.5787046883305744,289.0
KIFAP3,Rest,0.5503830813865831,0.5558956876614476,653.0
EIF3J,Rest,0.5496392054038922,0.4629762649644536,107.0
PNPT1,Rest,0.5487059928519353,0.2269199341647996,188.0
ALG2,Rest,0.5483991454275067,0.0778655961985651,67.0
BTF3L4,Rest,0.5480050498234708,,6.0
RBM27,Rest,0.5471499352044624,0.4236150309499022,233.0
ZC3H4,Rest,0.5467886640250824,0.5043563437392793,144.0
TAF6L,Rest,0.5460109483745847,0.670703914670062,1845.0
NCAPG2,Rest,0.5455632262174063,0.1303074901095259,466.0
TSC1,Rest,0.5454486431308057,0.6671262156296968,417.0
ELAVL1,Rest,0.5439198954724946,0.664927556802715,976.0
C16orf72,Rest,0.5430655061538603,0.6664143394239649,461.0
ELP5,Rest,0.5415546084598264,0.6729172667396973,219.0
VPS26B,Rest,0.5398743523130535,,53.0
DENR,Rest,0.5395811088165985,0.6125827295374654,1309.0
SCOC,Rest,0.5393471706377051,,14.0
UBA5,Rest,0.5384428689097509,0.5376110162752085,280.0
ARFGAP1,Rest,0.5377606149587097,,9.0
MBIP,Rest,0.5374312343679568,,33.0
RBFA,Rest,0.5367208994092219,,110.0
SLC25A1,Rest,0.536205535332526,,72.0
ZNF384,Rest,0.534790704896843,0.7447460257170474,64.0
DDX17,Rest,0.5342810466978571,0.5303856368932341,448.0
ATP5PO,Rest,0.5339701468728316,0.4466547340652125,182.0
NDUFA8,Rest,0.5335526178952442,0.2934078458257803,99.0
EMC2,Rest,0.5319603716847583,,58.0
NKAPD1,Rest,0.5316909830470582,0.3200358888270023,278.0
PPRC1,Rest,0.5308136138075994,0.4753778784177572,68.0
KYAT3,Rest,0.5301054914756101,,10.0
MOV10,Rest,0.5293470301900031,0.0368842777499678,396.0
LARP7,Rest,0.5293236461360956,,28.0
RNF41,Rest,0.5286219385349301,0.2975557073824552,117.0
EIF3K,Rest,0.5272425897006796,0.5787462562778484,213.0
RBPJ,Rest,0.5270109694217628,0.7174830278512895,108.0
TMED2,Rest,0.5266975566927797,0.2446707889013036,125.0
MED12,Rest,0.5260477899340272,0.723523675656954,1390.0
ZC3H14,Rest,0.5257171909230647,,40.0
NARS2,Rest,0.5235534361562585,,51.0
MAU2,Rest,0.5216914617703702,0.4321479530475526,149.0
FBXO46,Rest,0.5216784471142338,,65.0
TTC4,Rest,0.5208056582259187,0.3974274378627851,145.0
ANKZF1,Rest,0.5207559745757161,0.1178067237363355,55.0
RPE,Rest,0.5204550355933012,,99.0
LIN37,Rest,0.5202052161244682,0.5701327363150552,139.0
FLCN,Rest,0.5200408994273831,,43.0
KHDRBS1,Rest,0.5196495786857153,0.1250671648707658,118.0
ACLY,Rest,0.5188496780501629,,311.0
MKS1,Rest,0.5186538946004035,,17.0
NCAPD3,Rest,0.5179168297479435,,23.0
ACTR8,Rest,0.5174597824273501,0.6525526811919207,337.0
LRRC8D,Rest,0.5173404523969422,,13.0
VARS2,Rest,0.515865321610359,0.001055385272541,168.0
CREB1,Rest,0.5156869717007421,0.556365444209905,272.0
BRD8,Rest,0.5138847452140567,0.4673158121898043,956.0
MTHFD1,Rest,0.513080499461761,0.3891763687218075,56.0
CCAR2,Rest,0.5130229453754406,,30.0
SCAP,Rest,0.5095701136880727,,32.0
ZCCHC8,Rest,0.5088508544815841,0.730232766064092,68.0
TBC1D22A,Rest,0.5086961107214407,,7.0
PTPA,Rest,0.5077144901170487,0.3521474883048389,231.0
UBR4,Rest,0.5076702929629253,0.6272948320310895,300.0
WAC,Rest,0.5075374276386466,0.6016524568909466,705.0
MCM8,Rest,0.5074327091292712,0.3702235607658073,121.0
SARNP,Rest,0.5068518814500604,,88.0
ZNF148,Rest,0.5063252602859795,0.0779539232310373,594.0
MYO9A,Rest,0.5054352358267127,0.4742866771835061,279.0
DHPS,Rest,0.5047446959217878,0.4784451321323884,150.0
YY1AP1,Rest,0.5045481369249079,,17.0
SMAD3,Rest,0.504494477295413,-0.1991874833838266,240.0
SP2,Rest,0.5043000437072672,0.7713852604433685,527.0
ARGLU1,Rest,0.5036553366923222,,73.0
COQ4,Rest,0.5033598119880467,0.7410920058249254,42.0
PHF20,Rest,0.5030893933602929,,90.0
RAB4A,Rest,0.5022468393676965,,16.0
ADRM1,Rest,0.5016735901698404,,47.0
RHOC,Rest,0.5015927755942476,0.3772274623039189,69.0
THOC6,Rest,0.500475580580306,0.6836734846260525,190.0
PHF12,Rest,0.5003493047201483,0.2990137867342913,187.0
MIA2,Rest,0.4978945563882824,0.5651379800380927,138.0
GRSF1,Rest,0.4974871572687673,,81.0
RANBP3,Rest,0.4973686743964892,0.5101705271922167,79.0
PDIA6,Rest,0.4971309997531126,0.5977799316417035,161.0
TBRG1,Rest,0.4966114326789433,,79.0
HDAC1,Rest,0.4958627886557091,0.5370500718302952,124.0
UNG,Rest,0.4958146156622006,,7.0
ARF1,Rest,0.4954111748235731,0.3657499897611792,259.0
NUDT22,Rest,0.4949597104815751,,24.0
WDR89,Rest,0.4949446880354079,,34.0
RFT1,Rest,0.4939657649862664,,35.0
MORF4L1,Rest,0.4918583591600515,,209.0
SLC39A6,Rest,0.4911369444762986,0.7057547758725585,182.0
AVL9,Rest,0.4910214219355243,,13.0
CDK13,Rest,0.4907698944188029,0.6008962720246177,413.0
DNAJC8,Rest,0.4900712305497037,0.6110640916135868,415.0
PCGF6,Rest,0.4896765409025835,,33.0
GTF2A2,Rest,0.48935971782484,,21.0
ZNF586,Rest,0.4891556622437779,,31.0
MMAB,Rest,0.4856058716562728,0.1578113360071698,344.0
ZNF507,Rest,0.4852762687746466,,33.0
SLC35B1,Rest,0.4852587595438818,0.3646185610033929,304.0
L3MBTL2,Rest,0.4852299202437007,0.7970887144561879,284.0
RTRAF,Rest,0.4849481527103615,0.6140002298229931,581.0
UBN1,Rest,0.4846597619350187,,66.0
P4HB,Rest,0.4844768201098501,0.6474813523517349,166.0
YBX1,Rest,0.4840235806648875,0.1983402167747752,30.0
PGS1,Rest,0.4838851284372575,0.427393320206436,141.0
EIF3L,Rest,0.4831849540509311,0.5952862847284363,82.0
RNF19B,Rest,0.4824203803842732,,77.0
GMEB1,Rest,0.4824107992540782,0.6102324662445288,386.0
CCDC69,Rest,0.4822827357146333,,15.0
RBM18,Rest,0.4818779082841671,,68.0
CDC25B,Rest,0.4808922397697208,0.4281310915168507,247.0
BLZF1,Rest,0.4807641929325015,0.611671265737508,73.0
SS18L2,Rest,0.4801608202936504,,31.0
CSDE1,Rest,0.4796800127563267,0.5368751814224545,589.0
CCDC93,Rest,0.4796771235082195,0.3070693079704121,74.0
ODC1,Rest,0.4796469195431854,,37.0
DCP2,Rest,0.4795494584918036,0.4018826908579771,350.0
MTRR,Rest,0.4790121677239888,0.7454857123365256,45.0
PPCS,Rest,0.4787927543826292,0.3057969125395989,240.0
KDM5A,Rest,0.4786904535734861,,23.0
TBPL1,Rest,0.4773603142313766,,68.0
FEN1,Rest,0.4761308191007614,,20.0
ATP23,Rest,0.4761306509269905,0.7247955300725156,82.0
BLVRA,Rest,0.4754340586657357,,8.0
TM9SF2,Rest,0.474965443688891,,35.0
UBE2E1,Rest,0.474200739259071,0.6576401732086671,78.0
LTB4R,Rest,0.4739563713348302,0.253835458264292,190.0
FBXW7,Rest,0.4730593503235961,0.7045873366547899,132.0
LAMTOR4,Rest,0.471881266068504,,137.0
SMG9,Rest,0.4711277629266103,0.6896856585386599,495.0
SLC4A1AP,Rest,0.4710441041624478,0.3454480748581023,175.0
DMAC2,Rest,0.4707819086060966,,11.0
TNRC6A,Rest,0.4707154794660363,0.4804241738626651,141.0
MIPEP,Rest,0.4691917494523515,0.5885623065593021,329.0
USP22,Rest,0.4691663584077938,0.6690849153302283,906.0
SCAF4,Rest,0.4689113192608886,0.7561526303613805,166.0
NDUFC1,Rest,0.4686470432729782,,25.0
CHTF18,Rest,0.4685341607748189,0.3071907222905544,103.0
RHBDD1,Rest,0.4680804249127286,,12.0
SENP5,Rest,0.4676993209235411,0.6429451568299313,1741.0
COX6C,Rest,0.4673555979837871,0.1074802037146859,217.0
XRRA1,Rest,0.4667293635839432,0.558369120481898,319.0
EIF3H,Rest,0.466238448689578,0.5634777857057793,306.0
TTC5,Rest,0.4659016181112264,0.4583774488740268,114.0
ZNF490,Rest,0.4657583847909574,,4.0
SS18,Rest,0.4656412265730902,,14.0
IBA57,Rest,0.465139164179107,,97.0
UGP2,Rest,0.4642386131042675,,18.0
RBM6,Rest,0.4637664090741013,,30.0
HEXIM1,Rest,0.463535577373446,0.7583762968764823,224.0
BCS1L,Rest,0.462339223972214,0.476046881905815,305.0
LRRC8B,Rest,0.4622523700593938,0.286413954858183,59.0
HCCS,Rest,0.4620550195123449,0.4762039502911241,381.0
C14orf119,Rest,0.4615304130609646,,51.0
