gene_id,condition,n_guides_tested,n_guides_signif_kd,best_kd_tstat,frac_guides_signif_kd
ENSG00000000003,Rest,2,0,-0.1319826053827326,0.0
ENSG00000000003,Stim48hr,2,0,-0.1134160854980069,0.0
ENSG00000000003,Stim8hr,2,0,-0.5294779497577952,0.0
ENSG00000000419,Rest,2,2,-26.63591867334236,1.0
ENSG00000000419,Stim48hr,2,2,-21.468146449110908,1.0
ENSG00000000419,Stim8hr,2,2,-32.24438660831031,1.0
ENSG00000000457,Rest,2,2,-7.292096393280411,1.0
ENSG00000000457,Stim48hr,2,2,-30.437533691737496,1.0
ENSG00000000457,Stim8hr,2,2,-166.48364057653092,1.0
ENSG00000000460,Rest,2,2,-53.573016147887216,1.0
ENSG00000000460,Stim48hr,2,2,-81.47950415772796,1.0
ENSG00000000460,Stim8hr,2,2,-58.87112606101366,1.0
ENSG00000000938,Rest,2,0,-0.3972646733223191,0.0
ENSG00000000938,Stim48hr,2,1,-4.054139836328902,0.5
ENSG00000000938,Stim8hr,2,1,-2.560220871863652,0.5
ENSG00000000971,Rest,2,1,-17.845027611445147,0.5
ENSG00000000971,Stim48hr,2,2,-19.685485336657383,1.0
ENSG00000000971,Stim8hr,2,2,-5.261477140360101,1.0
ENSG00000001036,Rest,2,2,-31.99092050788569,1.0
ENSG00000001036,Stim48hr,2,2,-42.197425386630286,1.0
ENSG00000001036,Stim8hr,2,2,-28.550663165538587,1.0
ENSG00000001084,Rest,2,2,-104.29710563154696,1.0
ENSG00000001084,Stim48hr,2,2,-53.4772045243701,1.0
ENSG00000001084,Stim8hr,2,2,-19.40472535730549,1.0
ENSG00000001167,Rest,1,0,-0.0018843460139743,0.0
ENSG00000001167,Stim48hr,2,0,-0.0024311871055423,0.0
ENSG00000001167,Stim8hr,1,1,-38.59630226536819,1.0
ENSG00000001460,Rest,2,2,-54.46675594635503,1.0
ENSG00000001460,Stim48hr,2,2,-15.623355242346976,1.0
ENSG00000001460,Stim8hr,2,2,-31.533929181746057,1.0
ENSG00000001461,Rest,2,2,-72.97265904475016,1.0
ENSG00000001461,Stim48hr,2,2,-53.85316328648919,1.0
ENSG00000001461,Stim8hr,2,2,-64.2879491189773,1.0
ENSG00000001497,Rest,2,2,-48.518330970101246,1.0
ENSG00000001497,Stim48hr,2,1,-39.89603466441533,0.5
ENSG00000001497,Stim8hr,2,2,-84.57272900782459,1.0
