gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
A2M,Rest,0.7323429762835548,0.5770132916340891,False
A2M,Stim48hr,0.0790575916230366,0.7782722513089005,False
A2M,Stim8hr,0.227712684666327,0.7052980132450332,False
AACS,Rest,0.9004430544696377,0.4185561636695334,False
AACS,Stim48hr,0.7243455497382199,0.7827225130890052,False
AACS,Stim8hr,0.9365766683647478,0.315078960774325,False
AAGAB,Rest,0.1271826948136565,0.4829293719051342,False
AAGAB,Stim48hr,0.1641361256544502,0.443717277486911,False
AAGAB,Stim8hr,0.6861946001018848,0.3166072338257769,False
AAMDC,Rest,0.970289288506646,0.8183476674485275,False
AAMDC,Stim48hr,0.337696335078534,0.556282722513089,False
AAMDC,Stim8hr,0.8772287315333673,0.4572083545593479,False
AAR2,Rest,0.5436538962731301,0.5957779515246286,False
AAR2,Stim48hr,0.525392670157068,0.7646596858638743,False
AAR2,Stim8hr,0.6324503311258278,0.141365257259297,False
AASDH,Rest,0.2595777951524629,0.3922335157675267,False
AASDH,Stim48hr,0.1777486910994764,0.7164921465968587,False
AASDH,Stim8hr,0.8497198166072338,0.1803362200713194,False
AASDHPPT,Rest,0.0870471722700026,0.5645035183737295,False
AASDHPPT,Stim48hr,0.7520942408376964,0.5410994764397906,False
AASDHPPT,Stim8hr,0.4859908303616913,0.5669893020886398,False
AASS,Rest,0.8058378941881679,0.4021370862653114,False
AASS,Stim48hr,0.8994764397905759,0.7897905759162304,False
AASS,Stim8hr,0.8392766174223127,0.6793173713703515,False
ABCA1,Rest,0.3062288246025541,0.7615324472243941,False
ABCA1,Stim48hr,0.037696335078534,0.6387434554973822,False
ABCA1,Stim8hr,0.0448293428425878,0.6036678553234844,False
ABCA3,Rest,0.6682303883242117,0.8668230388324212,False
ABCA3,Stim48hr,0.5348167539267016,0.1782722513089005,False
ABCA3,Stim8hr,0.3616912888436067,0.5639327559857361,False
ABCA5,Rest,0.3348970549908783,0.0466510294500912,False
ABCA5,Stim48hr,0.4981675392670157,0.0678010471204188,False
ABCA5,Stim8hr,0.3408048904737646,0.2333163525216505,False
ABCB7,Stim8hr,0.1416199694345389,0.6867040244523688,False
ABCC1,Rest,0.1323951003388063,0.2741725306228824,False
ABCC1,Stim48hr,0.5039267015706806,0.125130890052356,False
ABCC1,Stim8hr,0.6805909322465614,0.2733061640346408,False
ABCC4,Rest,0.1326557206150638,0.126922074537399,False
ABCC4,Stim48hr,0.956544502617801,0.0465968586387434,False
ABCC4,Stim8hr,0.5453387671930718,0.1242995415180845,False
ABCD2,Rest,0.2314308053166536,0.6351316132395101,False
ABCD2,Stim48hr,0.5725130890052356,0.8861256544502618,False
ABCD2,Stim8hr,0.6477330616403464,0.5244523688232298,False
ABCD4,Rest,0.7607505863956215,0.0411780036486838,False
ABCD4,Stim48hr,0.0832460732984293,0.1193717277486911,False
ABCD4,Stim8hr,0.3716250636780438,0.1925624044829343,False
ABHD12,Rest,0.5788376335678915,0.289288506645817,False
ABHD12,Stim48hr,0.1261780104712042,0.5798429319371727,False
ABHD12,Stim8hr,0.4589913397860418,0.4118695873662761,False
