cluster,manual_annotation,best_described_by,condition_specificity,cluster_size,cluster_gene_size,intracluster_corr,rest_count,stim8hr_count,stim48hr_count,n_member_gene_conditions,n_member_genes,mean_regulator_score,top_members,best_autoimmune_or,min_autoimmune_fdr,is_autoimmune_enriched
89.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,7,7,0.225149634,7,0,0,7,7,5.142857142857143,CBFB;GOLGA8A;PDPK1;RICTOR;SNAP23;ZAP70;ZDHHC12,3.0405225358384027,5.049627361075314e-06,True
59.0,unknown,"Histone H2B conserved C-terminal lysine ubiquitination, and HULC complex",across_condition,15,9,0.141612779,5,7,3,15,9,6.466666666666667,HDAC7;HNRNPM;IRF2BP1;PCYT2;RNF20;SZRD1;WAC;ZBTB14,2.5486606624519657,0.0003376196063936,True
54.0,unknown,SCAR complex,Rest_Stim8hr,43,43,0.226228558,0,43,0,43,43,4.651162790697675,ABI3;AHR;ARNT;BRK1;CASP3;IST1;NCKAP1L;STIP1,2.319638527411937,0.0020286262851211,True
100.0,unknown,"mixed, incl. Basic region leucin zipper, and Early growth response, N-terminal",Stim48hr,13,13,0.177809747,0,0,13,13,13,5.0,AMD1;ATF4;BPTF;CBLB;CPSF6;GLS;TARBP2;YEATS2,2.22189572669999,0.0025247850560383,True
79.0,Th17 differentiation,"T-helper 17 cell lineage commitment, and Regulation of TP53 Expression",across_condition,6,6,0.177683816,0,6,0,6,6,7.0,BATF;IPMK;IRF4;JUNB;NUP188;STAT3,2.1200334683348845,0.0029353764612172,True
38.0,MLL2 complex related,"Nucleosome, and Histone methyltransferase complex",across_condition,14,6,0.197325052,5,6,3,14,6,6.214285714285714,ARRDC4;BAHD1;DOT1L;MEAF6;MEN1;PSIP1,2.22189572669999,0.0050495701120767,True
83.0,unknown,"Preribosome, and Ribosome biogenesis",across_condition,6,6,0.246506686,6,0,0,6,6,4.333333333333333,EIF4G1;GPALPP1;GRWD1;TPI1;TSR2;ZNHIT3,2.021439107753168,0.0061691997472328,True
93.0,unknown,"mostly uncharacterized, incl. Zinc finger, A20-type, and GON domain",Stim8hr_Stim48hr,8,8,0.222468256,0,0,8,8,8,6.125,ARHGAP27;BCAT2;FITM2;LRBA;MBD5;NSD2;USO1;ZBED3,2.017976402211339,0.0124057628623892,True
94.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim48hr,6,6,0.151005069,0,0,6,6,6,4.833333333333333,ID2;KDM8;MFSD6;PGS1;PTBP1;RBM33,1.9782959715373245,0.0183968397974046,True
80.0,unknown,Vesicle tethering involved in exocytosis,Rest_Stim8hr,43,41,0.126226952,1,41,1,43,41,5.488372093023256,BHLHE40;BRD1;EGR2;FBXO11;KLF2;PGAM1;RASA2;TFAP4,1.9238899201539068,0.0239248276420849,True
110.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim48hr,5,5,0.201673203,0,0,5,5,5,5.0,COA6;FBXO42;PARP2;SH3GL1;ZBTB14,4.214698621779831,0.0248566350974764,True
46.0,unknown,"P-type ATPase, C-terminal, and Protein dopey",across_condition,6,6,0.307992909,0,6,0,6,6,5.333333333333333,ATP8B1;DOP1B;ERGIC3;FBXO32;MOV10;RB1CC1,1.8334886579123972,0.0252758754865612,True
64.0,unknown,"Nucleocytoplasmic carrier activity, and Exportin-2, central domain",across_condition,17,17,0.120660003,0,0,17,17,17,4.529411764705882,DDX31;DHX9;IPO9;PGK1;PRPF38B;RTRAF;SLC35B1;ZNF829,1.9259692387851357,0.0255276178239784,True
88.0,unknown,Hypusine synthesis from eIF5A-lysine,Rest_Stim8hr,99,99,0.180414179,0,98,1,99,99,6.0606060606060606,GPS2;PDCL;PPIH;PSMF1;THRAP3;TIPRL;TNPO1;TRIP12,1.9259692387851357,0.046223759924605,True
22.0,TCR signaling,"Alpha-beta T cell receptor complex, and Pneumocystosis",Stim8hr_Stim48hr,11,11,0.8183773,0,11,0,11,11,6.181818181818182,CD247;CD3D;CD3E;CD3G;LAT;LCP2;PLCG1;ZAP70,1.9238899201539068,0.0478496552841698,True
91.0,unknown,Nuclear exosome (RNase complex),across_condition,10,10,0.330395125,10,0,0,10,10,4.9,ALS2;BCKDHA;C1D;EXOSC1;GDAP2;L2HGDH;SMARCD1;VEZT,1.9259692387851357,0.0510694929224148,True
82.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim48hr,7,7,0.113588739,0,2,5,7,7,6.714285714285714,GJC1;HMGXB3;IL2RB;KDM5C;KMT2C;TIMP1;ZBTB32,1.7445784093708658,0.059612988231096,True
