,variable,gene_name,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ENSG00000241860,ENSG00000241860,RP11-34P13.13,0.1118330336148856,0.0375425058828592,0.051189430239165,0.7334034723077546,0.4633123820178819,1.0,age_bin (Yaza2022 Discovery),0.7334034723077549
ENSG00000237491,ENSG00000237491,LINC01409,2.0010935061946924,0.0128004994157335,0.0162144367125865,0.789450761850827,0.4298485971404646,0.6097955670090863,age_bin (Yaza2022 Discovery),0.7894507618508313
ENSG00000225880,ENSG00000225880,LINC00115,0.430866944855426,0.0139080332368135,0.0317999075462972,0.4373608073094235,0.6618497028517196,0.789668260412063,age_bin (Yaza2022 Discovery),0.4373608073094213
ENSG00000187583,ENSG00000187583,PLEKHN1,0.4590228723379174,0.0540933508915794,0.0343345368440962,1.5754792655920349,0.1151458607498486,0.2635068736390767,age_bin (Yaza2022 Discovery),1.5754792655920364
ENSG00000188290,ENSG00000188290,HES4,0.3737215592235267,-0.0449872697800761,0.0363351232404799,-1.2381207429057788,0.215671293639285,0.3949271100519558,age_bin (Yaza2022 Discovery),-1.2381207429057814
ENSG00000187608,ENSG00000187608,ISG15,24.99558862058822,-0.0137490633395108,0.01051964856971,-1.3069888455303955,0.1912164998387574,0.3657955671171058,age_bin (Yaza2022 Discovery),-1.3069888455304004
ENSG00000131591,ENSG00000131591,C1orf159,0.8655353284254501,0.015347537845757,0.0223707229204837,0.6860546214938854,0.4926786649361709,0.6586458924122957,age_bin (Yaza2022 Discovery),0.6860546214938841
ENSG00000186891,ENSG00000186891,TNFRSF18,3.1793771788754976,-0.0010979675131884,0.0204459819891063,-0.0537008940814628,0.9571734704575628,0.977772778611528,age_bin (Yaza2022 Discovery),-0.05370089408145823
ENSG00000186827,ENSG00000186827,TNFRSF4,7.860922686499113,0.0026414380676392,0.0124988264365632,0.2113348866028038,0.8326259620523244,0.9052107876952228,age_bin (Yaza2022 Discovery),0.211334886602803
ENSG00000176022,ENSG00000176022,B3GALT6,0.9299879250809384,0.0135068736386202,0.0259956141236389,0.5195827870955301,0.6033543977783175,0.7461565144656037,age_bin (Yaza2022 Discovery),0.5195827870955291
ENSG00000184163,ENSG00000184163,C1QTNF12,0.1138394470586272,0.0411060185850244,0.0524361480744259,0.7839252137033417,0.4330839940805434,1.0,age_bin (Yaza2022 Discovery),0.7839252137033418
ENSG00000162572,ENSG00000162572,SCNN1D,0.1515217317438083,0.0314697432120791,0.0459210351740082,0.6853012588420766,0.4931538375982888,1.0,age_bin (Yaza2022 Discovery),0.6853012588420766
ENSG00000131584,ENSG00000131584,ACAP3,3.224738608978337,-0.0006620025091565,0.0124605015953977,-0.0531280786803216,0.9576298594880336,0.9780025000380028,age_bin (Yaza2022 Discovery),-0.05312807868031664
ENSG00000107404,ENSG00000107404,DVL1,0.4850817964935983,-0.0080420231576936,0.0293948988846636,-0.2735856717605333,0.7844030463145046,0.8758239812245667,age_bin (Yaza2022 Discovery),-0.2735856717605319
ENSG00000162576,ENSG00000162576,MXRA8,0.1136866125888454,0.0095731336032272,0.0508319652345562,0.1883290083130461,0.8506187468454982,1.0,age_bin (Yaza2022 Discovery),0.188329008313046
ENSG00000221978,ENSG00000221978,CCNL2,7.251928455703131,0.0347322641400652,0.0085777773503727,4.049098352798347,5.1415335471996965e-05,0.0007771165821161,age_bin (Yaza2022 Discovery),4.049098352798363
ENSG00000272455,ENSG00000272455,MRPL20-DT,0.072855700518596,0.0738180502773752,0.0651008840460843,1.1339024248137728,0.256835479886454,1.0,age_bin (Yaza2022 Discovery),1.1339024248137721
ENSG00000215915,ENSG00000215915,ATAD3C,0.7015999865763957,0.0776505634897095,0.0252718668755153,3.0726089161596994,0.002121963810302,0.0155899758549932,age_bin (Yaza2022 Discovery),3.0726089161597083
ENSG00000160072,ENSG00000160072,ATAD3B,1.964001138110812,0.0223480001205656,0.0152179465625114,1.4685292807913168,0.1419605086183334,0.3013628988231908,age_bin (Yaza2022 Discovery),1.4685292807913195
ENSG00000215014,ENSG00000215014,RP5-832C2.5,3.427389048465654,0.0005819717036037,0.0137489148792828,0.0423285552869851,0.9662367818531152,0.9813360463850188,age_bin (Yaza2022 Discovery),0.04232855528697971
ENSG00000228594,ENSG00000228594,FNDC10,0.2554550255274432,0.0508464228061577,0.0397535625255129,1.2790406588975702,0.2008827384306001,0.3774468094017441,age_bin (Yaza2022 Discovery),1.2790406588975682
ENSG00000286989,ENSG00000286989,RP11-345P4.12,0.0712729726893387,0.017070980300806,0.0673712424187554,0.2533867520907362,0.7999693639984755,1.0,age_bin (Yaza2022 Discovery),0.25338675209073525
ENSG00000197530,ENSG00000197530,MIB2,12.108993391724724,0.0244170882916334,0.0069896759305395,3.4933076346142955,0.0004770765658795,0.0047421410648429,age_bin (Yaza2022 Discovery),3.4933076346142933
ENSG00000189409,ENSG00000189409,MMP23B,0.7290348873629736,0.020353537009065,0.028304794554112,0.719084428263696,0.472088901152022,0.6436036336003218,age_bin (Yaza2022 Discovery),0.7190844282636959
ENSG00000248333,ENSG00000248333,CDK11B,7.974196911545,0.0029302602328266,0.0086528011058169,0.3386487447234601,0.7348743570628049,0.8429792137556895,age_bin (Yaza2022 Discovery),0.3386487447234531
ENSG00000272004,ENSG00000272004,RP11-345P4.10,0.151116155010495,0.0400812030354441,0.0500878492882395,0.8002180889179252,0.4235844511554338,1.0,age_bin (Yaza2022 Discovery),0.8002180889179258
ENSG00000189339,ENSG00000189339,SLC35E2B,7.072280516814619,0.0147207917746823,0.0086709959834709,1.6977048314569292,0.0895634854349411,0.2219125772550785,age_bin (Yaza2022 Discovery),1.6977048314569438
