,target_contrast,donors,variable,correlation,correlation_ceiling,n_signif,culture_condition,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category
0,ENSG00000055070,CE0008678_CE0010866,CE0008162_CE0006864,0.6378100543651257,0.9004966147710615,14,Rest,SZRD1,Rest,574.0,12,24,36,-18.27540222836878,True,87.22422607883773,False,>10 DE genes,on-target KD
1,ENSG00000055070,CE0008678_CE0008162,CE0010866_CE0006864,0.6200450257981681,0.8893255193181422,30,Rest,SZRD1,Rest,574.0,12,24,36,-18.27540222836878,True,87.22422607883773,False,>10 DE genes,on-target KD
2,ENSG00000055070,CE0008678_CE0006864,CE0010866_CE0008162,0.6803589388500303,0.9352475970835732,17,Rest,SZRD1,Rest,574.0,12,24,36,-18.27540222836878,True,87.22422607883773,False,>10 DE genes,on-target KD
3,ENSG00000101457,CE0008678_CE0010866,CE0008162_CE0006864,0.8124669496455328,0.9007090379368885,128,Rest,DNTTIP1,Rest,1768.0,137,100,237,-24.027243283969742,True,35.5977920913323,False,>10 DE genes,on-target KD
4,ENSG00000101457,CE0008678_CE0008162,CE0010866_CE0006864,0.5881231262546927,0.8555845976570483,296,Rest,DNTTIP1,Rest,1768.0,137,100,237,-24.027243283969742,True,35.5977920913323,False,>10 DE genes,on-target KD
5,ENSG00000101457,CE0008678_CE0006864,CE0010866_CE0008162,0.6243420844986693,0.8531112028846191,264,Rest,DNTTIP1,Rest,1768.0,137,100,237,-24.027243283969742,True,35.5977920913323,False,>10 DE genes,on-target KD
6,ENSG00000101928,CE0008678_CE0010866,CE0008162_CE0006864,0.5083746624525955,0.29128933187975026,941,Rest,MOSPD1,Rest,342.0,54,100,154,-5.898896341029936,True,12.091409971372002,False,>10 DE genes,on-target KD
7,ENSG00000101928,CE0008678_CE0008162,CE0010866_CE0006864,0.3912125177352315,0.9309496487413615,3,Rest,MOSPD1,Rest,342.0,54,100,154,-5.898896341029936,True,12.091409971372002,False,>10 DE genes,on-target KD
8,ENSG00000101928,CE0008678_CE0006864,CE0010866_CE0008162,0.5572345739903793,0.9404708092615973,4,Rest,MOSPD1,Rest,342.0,54,100,154,-5.898896341029936,True,12.091409971372002,False,>10 DE genes,on-target KD
9,ENSG00000107404,CE0008678_CE0010866,CE0008162_CE0006864,0.5688124127097641,,373,Rest,DVL1,Rest,165.0,91,34,125,-6.038586042223384,True,19.730130161159416,False,>10 DE genes,on-target KD
10,ENSG00000107404,CE0008678_CE0008162,CE0010866_CE0006864,0.40892852925422296,0.7809331090152509,267,Rest,DVL1,Rest,165.0,91,34,125,-6.038586042223384,True,19.730130161159416,False,>10 DE genes,on-target KD
11,ENSG00000107404,CE0008678_CE0006864,CE0010866_CE0008162,0.41775702351373717,0.8810298399148451,9,Rest,DVL1,Rest,165.0,91,34,125,-6.038586042223384,True,19.730130161159416,False,>10 DE genes,on-target KD
12,ENSG00000107815,CE0008678_CE0010866,CE0008162_CE0006864,0.6453845471089735,0.6152095439989463,975,Rest,TWNK,Rest,1148.0,130,102,232,-5.566569238955238,True,17.289700368008585,False,>10 DE genes,on-target KD
13,ENSG00000107815,CE0008678_CE0008162,CE0010866_CE0006864,0.7550420536689304,0.9197755749159637,51,Rest,TWNK,Rest,1148.0,130,102,232,-5.566569238955238,True,17.289700368008585,False,>10 DE genes,on-target KD
14,ENSG00000107815,CE0008678_CE0006864,CE0010866_CE0008162,0.6965052575720513,0.8149756519807008,440,Rest,TWNK,Rest,1148.0,130,102,232,-5.566569238955238,True,17.289700368008585,False,>10 DE genes,on-target KD
15,ENSG00000110955,CE0008678_CE0010866,CE0008162_CE0006864,-0.0006170020304594613,0.5299137478108678,505,Rest,ATP5F1B,Rest,84.0,94,30,124,-6.086500401410236,True,196.2843681301032,False,>10 DE genes,on-target KD
16,ENSG00000110955,CE0008678_CE0008162,CE0010866_CE0006864,-0.24912838456972905,0.6658663905919977,588,Rest,ATP5F1B,Rest,84.0,94,30,124,-6.086500401410236,True,196.2843681301032,False,>10 DE genes,on-target KD
17,ENSG00000110955,CE0008678_CE0006864,CE0010866_CE0008162,0.16832954863851796,0.4343093753531422,1161,Rest,ATP5F1B,Rest,84.0,94,30,124,-6.086500401410236,True,196.2843681301032,False,>10 DE genes,on-target KD
18,ENSG00000115685,CE0008678_CE0010866,CE0008162_CE0006864,0.7760225948504956,0.9009243050679633,53,Rest,PPP1R7,Rest,417.0,39,43,82,-21.04684626332964,True,137.34628944738904,True,>10 DE genes,on-target KD
19,ENSG00000115685,CE0008678_CE0008162,CE0010866_CE0006864,0.6531880651726901,0.9115536186823368,32,Rest,PPP1R7,Rest,417.0,39,43,82,-21.04684626332964,True,137.34628944738904,True,>10 DE genes,on-target KD
20,ENSG00000115685,CE0008678_CE0006864,CE0010866_CE0008162,0.8662923193690157,0.9345311421833196,33,Rest,PPP1R7,Rest,417.0,39,43,82,-21.04684626332964,True,137.34628944738904,True,>10 DE genes,on-target KD
21,ENSG00000122694,CE0008678_CE0010866,CE0008162_CE0006864,0.3012912892240793,,603,Rest,GLIPR2,Rest,1375.0,450,295,745,-19.21838562674811,True,63.72245590996087,False,>10 DE genes,on-target KD
22,ENSG00000122694,CE0008678_CE0008162,CE0010866_CE0006864,0.3101632083724856,,1749,Rest,GLIPR2,Rest,1375.0,450,295,745,-19.21838562674811,True,63.72245590996087,False,>10 DE genes,on-target KD
23,ENSG00000122694,CE0008678_CE0006864,CE0010866_CE0008162,0.19844395039732265,,1673,Rest,GLIPR2,Rest,1375.0,450,295,745,-19.21838562674811,True,63.72245590996087,False,>10 DE genes,on-target KD
24,ENSG00000126267,CE0008678_CE0010866,CE0008162_CE0006864,0.07618906369642496,0.38691153405351997,1451,Rest,COX6B1,Rest,386.0,23,8,31,-12.8676949724244,True,55.25212883688935,False,>10 DE genes,on-target KD
25,ENSG00000126267,CE0008678_CE0008162,CE0010866_CE0006864,0.07877358284898518,0.7246266304384332,88,Rest,COX6B1,Rest,386.0,23,8,31,-12.8676949724244,True,55.25212883688935,False,>10 DE genes,on-target KD
26,ENSG00000126267,CE0008678_CE0006864,CE0010866_CE0008162,0.09676684438922083,0.873697624057556,34,Rest,COX6B1,Rest,386.0,23,8,31,-12.8676949724244,True,55.25212883688935,False,>10 DE genes,on-target KD
