,target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr
0,SLC30A1,0.9340701252458113,0.0,-0.012102584571878832,0.00794685210480462,-0.0025697057336119965,K562 vs CD4+T (Rest),Rest,,14.0,23.0,23.0,23.0
1,PROSER1,0.8098930751964291,0.0,-0.006029235540927222,0.012711884591495571,-0.027475010163735564,K562 vs CD4+T (Rest),Rest,,3.0,40.0,44.0,46.0
2,C2orf76,0.8077539765559986,0.0,-0.0014856575513571462,0.011482899000699313,0.002590611100220064,K562 vs CD4+T (Rest),Rest,,3.0,7.0,7.0,7.0
3,SMG7,0.7722755799422971,0.0,-0.04250045732271837,0.03308033260555675,4.7986432283361746e-05,K562 vs CD4+T (Rest),Rest,0.3782917943265952,32.0,735.0,671.0,763.0
4,CASC3,0.7654944023631409,0.0,-0.00636840526977076,-0.0036097684934851314,0.03933125956396824,K562 vs CD4+T (Rest),Rest,0.5785955145038758,213.0,683.0,657.0,719.0
5,RMDN1,0.7548918104291445,0.0,0.006029585329972567,-0.003177699979310624,0.0010658769075075495,K562 vs CD4+T (Rest),Rest,,3.0,9.0,10.0,9.0
6,DCAF17,0.7369748113650633,0.0,0.005727380699290789,0.02890814939321415,-0.0049051665144658205,K562 vs CD4+T (Rest),Rest,,5.0,3.0,4.0,3.0
7,OPN3,0.7270037139305956,0.0,0.014821633382672604,-0.0003131547686938312,0.014067686615445111,K562 vs CD4+T (Rest),Rest,,5.0,8.0,9.0,12.0
8,MLH1,0.7232699792087102,0.0,-0.007322662155489864,-0.005519638536142292,-0.01827526938944772,K562 vs CD4+T (Rest),Rest,,3.0,5.0,8.0,5.0
9,ZFC3H1,0.71794632718602,0.0,0.020723868498427493,0.008839751755167897,-0.00557481936131564,K562 vs CD4+T (Rest),Rest,0.3966611610794554,98.0,214.0,230.0,239.0
10,ACAD8,0.7099016790752418,0.0,0.0070826592863987995,-0.000618979851869062,-0.00512579199776357,K562 vs CD4+T (Rest),Rest,,4.0,4.0,5.0,4.0
11,SREBF2,0.7064007121964557,0.0,-0.005584534374251786,0.05323671376354486,-0.004993100502894965,K562 vs CD4+T (Rest),Rest,,10.0,28.0,36.0,30.0
12,SCAF8,0.7060190699568718,0.0,0.03868784872128158,0.011102493528336619,-0.001155926378077772,K562 vs CD4+T (Rest),Rest,0.5525999101684475,6.0,83.0,92.0,88.0
13,PTDSS2,0.6970554322007603,0.0,-0.009918937962254099,0.013406844563084767,-0.006473077752496363,K562 vs CD4+T (Rest),Rest,0.5026950084495714,21.0,78.0,77.0,79.0
14,CRYZ,0.6967308177578144,0.0,-0.009790438490822282,-0.0007660719246343466,0.005736966066280989,K562 vs CD4+T (Rest),Rest,,3.0,5.0,6.0,6.0
15,SEC63,0.6911335538343515,0.0,0.014362433958856302,0.050950272473294145,-0.01651398760771213,K562 vs CD4+T (Rest),Rest,0.4778277208561,21.0,260.0,287.0,252.0
16,FOXN2,0.690741917501684,0.0,0.009695056210166409,0.033054408316592614,0.025596888201716392,K562 vs CD4+T (Rest),Rest,0.645811828789265,36.0,206.0,203.0,208.0
17,KCTD9,0.6859818258457862,0.0,-0.013690039223471177,0.009827127753345535,0.016343872429132874,K562 vs CD4+T (Rest),Rest,,3.0,15.0,12.0,14.0
18,CDKN2AIP,0.6827259936761159,0.0,0.048211916008114156,-0.011277137082773062,0.009543295441987544,K562 vs CD4+T (Rest),Rest,0.6363401334688242,27.0,120.0,125.0,121.0
19,INTS13,0.6757987722446699,0.0,0.07574864290487679,-0.04110234056113328,-0.01703553059954094,K562 vs CD4+T (Rest),Rest,0.4312824754162838,27.0,434.0,449.0,455.0
20,SMG8,0.6713039068903436,0.0,-0.02104898548497465,-0.0001766069633613093,0.054908842923624045,K562 vs CD4+T (Rest),Rest,0.6564474446021578,28.0,537.0,528.0,547.0
21,CCDC18,0.6675574272420433,0.0,0.008822961727246831,0.0316403683269601,0.001847250355662816,K562 vs CD4+T (Rest),Rest,,7.0,5.0,7.0,6.0
22,APIP,0.6598028778793972,0.0,0.03514418709068441,-0.004180712826250481,0.053176376760531,K562 vs CD4+T (Rest),Rest,,4.0,7.0,8.0,8.0
23,TMEM131L,0.6577976812441135,0.0,-0.012650314422208427,0.008725107927693024,0.024895672974491176,K562 vs CD4+T (Rest),Rest,0.2720691031526889,14.0,248.0,274.0,262.0
24,UBR5,0.6561261880061783,0.0,0.013646319884568431,0.011336190563354082,0.02592797580528754,K562 vs CD4+T (Rest),Rest,0.6859984175056288,7.0,765.0,783.0,811.0
25,CETN2,0.6533823737381315,0.0,0.009969281425022972,0.03285118638437222,-0.0031497989436714523,K562 vs CD4+T (Rest),Rest,,5.0,23.0,23.0,23.0
26,DNAJB9,0.6457202373142288,0.0,0.01394864352112925,0.013820101675995743,0.013269578978631668,K562 vs CD4+T (Rest),Rest,0.6406875162383159,22.0,204.0,213.0,192.0
27,RPRD2,0.6445427494557914,0.0,0.08881191220254162,-0.07636107245459592,0.0730198967004861,K562 vs CD4+T (Rest),Rest,0.5837184036978235,16.0,933.0,1014.0,963.0
